#Release 14.1 - par P.15xf (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Wed Oct  1 13:32:26 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       myNetworkAurora_map.ncd
#OUTPUT FILE:      myNetworkAurora_pad.csv
#PART TYPE:        xc5vlx110t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E27,,IOBS,IO_L11N_CC_19,UNUSED,,19,,,,,,,,,
E28,,IOBM,IO_L10P_CC_19,UNUSED,,19,,,,,,,,,
E29,,IOBM,IO_L0P_15,UNUSED,,15,,,,,,,,,
E30,,,VCCO_19,,,19,,,,,any******,,,,
E31,,IOBS,IO_L3N_15,UNUSED,,15,,,,,,,,,
E32,recv_ports_0_getFlit<2>,IOB,IO_L6P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
E33,EN_send_ports_0_putFlit,IOB,IO_L6N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
E34,recv_ports_0_getFlit<0>,IOB,IO_L5N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,,OPAD,MGTTXP0_116,UNUSED,,,,,,,,,,,
F3,,,MGTAVTTTX_116,,,,,,,,,,,,
F4,,,MGTAVCC_120,,,,,,,,,,,,
F5,,IOBM,IO_L15P_12,UNUSED,,12,,,,,,,,,
F6,,IOBS,IO_L15N_12,UNUSED,,12,,,,,,,,,
F7,,,GND,,,,,,,,,,,,
F8,,IOBS,IO_L1N_20,UNUSED,,20,,,,,,,,,
F9,,IOBM,IO_L1P_20,UNUSED,,20,,,,,,,,,
F10,,IOBM,IO_L2P_20,UNUSED,,20,,,,,,,,,
F11,,IOBM,IO_L15P_20,UNUSED,,20,,,,,,,,,
F12,,,GND,,,,,,,,,,,,
F13,,IOBM,IO_L19P_20,UNUSED,,20,,,,,,,,,
F14,,IOBM,IO_L18P_5,UNUSED,,5,,,,,,,,,
F15,,IOBS,IO_L18N_5,UNUSED,,5,,,,,,,,,
F16,,IOBS,IO_L16N_5,UNUSED,,5,,,,,,,,,
F17,,,VCCO_5,,,5,,,,,any******,,,,
F18,,IOBM,IO_L14P_5,UNUSED,,5,,,,,,,,,
F19,,IOBS,IO_L4N_VREF_5,UNUSED,,5,,,,,,,,,
F20,,IOBS,IO_L8N_CC_5,UNUSED,,5,,,,,,,,,
F21,,IOBM,IO_L11P_CC_5,UNUSED,,5,,,,,,,,,
F22,,,GND,,,,,,,,,,,,
F23,,IOBS,IO_L15N_5,UNUSED,,5,,,,,,,,,
F24,,IOBM,IO_L19P_5,UNUSED,,5,,,,,,,,,
F25,,IOBM,IO_L7P_19,UNUSED,,19,,,,,,,,,
F26,,IOBS,IO_L7N_19,UNUSED,,19,,,,,,,,,
F27,,,VCCO_23,,,23,,,,,any******,,,,
F28,,IOBS,IO_L10N_CC_19,UNUSED,,19,,,,,,,,,
F29,,IOBS,IO_L0N_15,UNUSED,,15,,,,,,,,,
F30,,IOBS,IO_L1N_15,UNUSED,,15,,,,,,,,,
F31,,IOBM,IO_L3P_15,UNUSED,,15,,,,,,,,,
F32,,,GND,,,,,,,,,,,,
F33,recv_ports_0_getFlit<6>,IOB,IO_L5P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
F34,recv_ports_info_1_getRecvPortID<1>,IOB,IO_L7N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,,IPAD,MGTRXP0_116,UNUSED,,,,,,,,,,,
G2,,OPAD,MGTTXN0_116,UNUSED,,,,,,,,,,,
G3,,,MGTAVTTRX_116,,,,,,,,,,,,
G4,,,GND,,,,,,,,,,,,
G5,,IOBS,IO_L13N_12,UNUSED,,12,,,,,,,,,
G6,,IOBM,IO_L17P_12,UNUSED,,12,,,,,,,,,
G7,,IOBS,IO_L17N_12,UNUSED,,12,,,,,,,,,
G8,,IOBM,IO_L3P_20,UNUSED,,20,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,IOBS,IO_L2N_20,UNUSED,,20,,,,,,,,,
G11,,IOBM,IO_L13P_20,UNUSED,,20,,,,,,,,,
G12,,IOBS,IO_L13N_20,UNUSED,,20,,,,,,,,,
G13,,IOBS,IO_L19N_20,UNUSED,,20,,,,,,,,,
G14,,,VCCO_1,,,1,,,,,any******,,,,
G15,,IOBM,IO_L2P_GC_VRN_3,UNUSED,,3,,,,,,,,,
G16,,IOBS,IO_L2N_GC_VRP_3,UNUSED,,3,,,,,,,,,
G17,,IOBM,IO_L16P_5,UNUSED,,5,,,,,,,,,
G18,,IOBS,IO_L14N_VREF_5,UNUSED,,5,,,,,,,,,
G19,,,GND,,,,,,,,,,,,
G20,,IOBM,IO_L8P_CC_5,UNUSED,,5,,,,,,,,,
G21,,IOBS,IO_L11N_CC_5,UNUSED,,5,,,,,,,,,
G22,,IOBM,IO_L4P_A11_D27_1,UNUSED,,1,,,,,,,,,
G23,,IOBM,IO_L8P_CC_A3_D19_1,UNUSED,,1,,,,,,,,,
G24,,,VCCO_23,,,23,,,,,any******,,,,
G25,,IOBM,IO_L5P_19,UNUSED,,19,,,,,,,,,
G26,,IOBS,IO_L5N_19,UNUSED,,19,,,,,,,,,
G27,,IOBM,IO_L8P_CC_19,UNUSED,,19,,,,,,,,,
G28,,IOBS,IO_L9N_CC_19,UNUSED,,19,,,,,,,,,
G29,,,GND,,,,,,,,,,,,
G30,,IOBM,IO_L1P_15,UNUSED,,15,,,,,,,,,
G31,,IOBS,IO_L5N_15,UNUSED,,15,,,,,,,,,
G32,recv_ports_0_getFlit<1>,IOB,IO_L4P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
G33,recv_ports_0_getFlit<4>,IOB,IO_L7P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
G34,,,GND,,,,,,,,,,,,
H1,,IPAD,MGTRXN0_116,UNUSED,,,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,,IPAD,MGTREFCLKN_116,UNUSED,,,,,,,,,,,
H4,,IPAD,MGTREFCLKP_116,UNUSED,,,,,,,,,,,
H5,,IOBM,IO_L13P_12,UNUSED,,12,,,,,,,,,
H6,,,GND,,,,,,,,,,,,
H7,,IOBM,IO_L11P_CC_12,UNUSED,,12,,,,,,,,,
H8,,IOBS,IO_L3N_20,UNUSED,,20,,,,,,,,,
H9,,IOBS,IO_L7N_20,UNUSED,,20,,,,,,,,,
H10,,IOBM,IO_L7P_20,UNUSED,,20,,,,,,,,,
H11,,,VCCO_20,,,20,,,,,any******,,,,
H12,,IOBS,IO_L7N_A4_D20_1,UNUSED,,1,,,,,,,,,
H13,,IOBS,IO_L8N_GC_3,UNUSED,,3,,,,,,,,,
H14,,IOBM,IO_L6P_GC_3,UNUSED,,3,,,,,,,,,
H15,,IOBS,IO_L6N_GC_3,UNUSED,,3,,,,,,,,,
H16,,,GND,,,,,,,,,,,,
H17,,IOBM,IO_L0P_CC_GC_3,UNUSED,,3,,,,,,,,,
H18,,IOBS,IO_L0N_CC_GC_3,UNUSED,,3,,,,,,,,,
H19,,IOBM,IO_L9P_GC_3,UNUSED,,3,,,,,,,,,
H20,,IOBS,IO_L9N_GC_3,UNUSED,,3,,,,,,,,,
H21,,,GND,,,,,,,,,,,,
H22,,IOBS,IO_L4N_VREF_A10_D26_1,UNUSED,,1,,,,,,,,,
H23,,IOBS,IO_L8N_CC_A2_D18_1,UNUSED,,1,,,,,,,,,
H24,,IOBS,IO_L6N_19,UNUSED,,19,,,,,,,,,
H25,,IOBM,IO_L6P_19,UNUSED,,19,,,,,,,,,
H26,,,GND,,,,,,,,,,,,
H27,,IOBS,IO_L8N_CC_19,UNUSED,,19,,,,,,,,,
H28,,IOBM,IO_L9P_CC_19,UNUSED,,19,,,,,,,,,
H29,,IOBM,IO_L2P_15,UNUSED,,15,,,,,,,,,
H30,,IOBM,IO_L5P_15,UNUSED,,15,,,,,,,,,
H31,,,VCCO_19,,,19,,,,,any******,,,,
H32,send_ports_0_putFlit_flit_in<20>,IOB,IO_L4N_VREF_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
H33,recv_ports_0_getFlit<10>,IOB,IO_L8N_CC_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
H34,recv_ports_0_getFlit<7>,IOB,IO_L9P_CC_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
J1,,IPAD,MGTRXN1_116,UNUSED,,,,,,,,,,,
J2,,,GND,,,,,,,,,,,,
J3,,,MGTAVCC_116,,,,,,,,,,,,
J4,,,MGTAVCC_116,,,,,,,,,,,,
J5,,IOBS,IO_L8N_CC_12,UNUSED,,12,,,,,,,,,
J6,,IOBM,IO_L8P_CC_12,UNUSED,,12,,,,,,,,,
J7,,IOBS,IO_L11N_CC_12,UNUSED,,12,,,,,,,,,
J8,,,VCCO_20,,,20,,,,,any******,,,,
J9,,IOBS,IO_L9N_CC_20,UNUSED,,20,,,,,,,,,
J10,,IOBM,IO_L9P_CC_20,UNUSED,,20,,,,,,,,,
J11,,IOBS,IO_L5N_20,UNUSED,,20,,,,,,,,,
J12,,IOBM,IO_L7P_A5_D21_1,UNUSED,,1,,,,,,,,,
J13,,,GND,,,,,,,,,,,,
J14,,IOBM,IO_L8P_GC_3,UNUSED,,3,,,,,,,,,
J15,,IOBS,IO_L3N_A12_D28_1,UNUSED,,1,,,,,,,,,
J16,,IOBM,IO_L4P_GC_3,UNUSED,,3,,,,,,,,,
J17,,IOBS,IO_L4N_GC_VREF_3,UNUSED,,3,,,,,,,,,
J18,,,GND,,,,,,,,,,,,
J19,,IOBS,IO_L3N_GC_3,UNUSED,,3,,,,,,,,,
J20,,IOBM,IO_L7P_GC_3,UNUSED,,3,,,,,,,,,
J21,,IOBS,IO_L7N_GC_3,UNUSED,,3,,,,,,,,,
J22,,IOBM,IO_L2P_A15_D31_1,UNUSED,,1,,,,,,,,,
J23,,,GND,,,,,,,,,,,,
J24,,IOBM,IO_L2P_19,UNUSED,,19,,,,,,,,,
J25,,IOBS,IO_L2N_19,UNUSED,,19,,,,,,,,,
J26,,IOBS,IO_L4N_VREF_19,UNUSED,,19,,,,,,,,,
J27,,IOBM,IO_L4P_19,UNUSED,,19,,,,,,,,,
J28,,,VCCO_19,,,19,,,,,any******,,,,
J29,,IOBS,IO_L2N_15,UNUSED,,15,,,,,,,,,
J30,,IOBM,IO_L6P_15,UNUSED,,15,,,,,,,,,
J31,,IOBS,IO_L6N_15,UNUSED,,15,,,,,,,,,
J32,recv_ports_0_getFlit<3>,IOB,IO_L8P_CC_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
J33,,,GND,,,,,,,,,,,,
J34,recv_ports_0_getFlit<8>,IOB,IO_L9N_CC_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,,IPAD,MGTRXP1_116,UNUSED,,,,,,,,,,,
K2,,OPAD,MGTTXN1_116,UNUSED,,,,,,,,,,,
K3,,,MGTAVCCPLL_116,,,,,,,,,,,,
K4,,,GND,,,,,,,,,,,,
K5,,,GND,,,,,,,,,,,,
K6,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,
K7,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,
K8,,IOBM,IO_L10P_CC_20,UNUSED,,20,,,,,,,,,
K9,,IOBS,IO_L10N_CC_20,UNUSED,,20,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,IOBM,IO_L5P_20,UNUSED,,20,,,,,,,,,
K12,,IOBS,IO_L9N_CC_A0_D16_1,UNUSED,,1,,,,,,,,,
K13,,IOBM,IO_L9P_CC_A1_D17_1,UNUSED,,1,,,,,,,,,
K14,,IOBS,IO_L5N_A8_D24_1,UNUSED,,1,,,,,,,,,
K15,,,GND,,,,,,,,,,,,
K16,,IOBM,IO_L3P_A13_D29_1,UNUSED,,1,,,,,,,,,
K17,,IOBM,IO_L1P_CC_GC_3,UNUSED,,3,,,,,,,,,
K18,,IOBM,IO_L3P_GC_3,UNUSED,,3,,,,,,,,,
K19,,IOBS,IO_L5N_GC_3,UNUSED,,3,,,,,,,,,
K20,,,GND,,,,,,,,,,,,
K21,,IOBS,IO_L2N_A14_D30_1,UNUSED,,1,,,,,,,,,
K22,,IOBS,IO_L6N_A6_D22_1,UNUSED,,1,,,,,,,,,
K23,,IOBM,IO_L6P_A7_D23_1,UNUSED,,1,,,,,,,,,
K24,,IOBM,IO_L0P_19,UNUSED,,19,,,,,,,,,
K25,,,GND,,,,,,,,,,,,
K26,,IOBS,IO_L14N_VREF_19,UNUSED,,19,,,,,,,,,
K27,,IOBM,IO_L14P_19,UNUSED,,19,,,,,,,,,
K28,,IOBM,IO_L13P_19,UNUSED,,19,,,,,,,,,
K29,,IOBS,IO_L4N_VREF_15,UNUSED,,15,,,,,,,,,
K30,,,GND,,,,,,,,,,,,
K31,,IOBM,IO_L9P_CC_15,UNUSED,,15,,,,,,,,,
K32,recv_ports_0_getFlit<12>,IOB,IO_L11N_CC_SM14N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
K33,recv_ports_0_getFlit<9>,IOB,IO_L11P_CC_SM14P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
K34,recv_ports_0_getFlit<20>,IOB,IO_L10N_CC_SM15N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,OPAD,MGTTXP1_116,UNUSED,,,,,,,,,,,
L3,,,MGTAVTTTX_116,,,,,,,,,,,,
L4,,IOBM,IO_L4P_12,UNUSED,,12,,,,,,,,,
L5,,IOBS,IO_L4N_VREF_12,UNUSED,,12,,,,,,,,,
L6,,IOBS,IO_L2N_12,UNUSED,,12,,,,,,,,,
L7,,,GND,,,,,,,,,,,,
L8,,IOBS,IO_L14N_VREF_20,UNUSED,,20,,,,,,,,,
L9,,IOBS,IO_L16N_20,UNUSED,,20,,,,,,,,,
L10,,IOBM,IO_L12P_VRN_20,UNUSED,,20,,,,,,,,,
L11,,IOBS,IO_L12N_VRP_20,UNUSED,,20,,,,,,,,,
L12,,,VCCAUX,,,,,,,,2.5,,,,
L13,,,GND,,,,,,,,,,,,
L14,,IOBM,IO_L5P_A9_D25_1,UNUSED,,1,,,,,,,,,
L15,,IOBM,IO_L1P_A17_1,UNUSED,,1,,,,,,,,,
L16,,IOBS,IO_L1N_A16_1,UNUSED,,1,,,,,,,,,
L17,,,GND,,,,,,,,,,,,
L18,,IOBS,IO_L1N_CC_GC_3,UNUSED,,3,,,,,,,,,
L19,,IOBM,IO_L5P_GC_3,UNUSED,,3,,,,,,,,,
L20,,IOBS,IO_L0N_A18_1,UNUSED,,1,,,,,,,,,
L21,,IOBM,IO_L0P_A19_1,UNUSED,,1,,,,,,,,,
L22,,,GND,,,,,,,,,,,,
L23,,,VBATT_0,,,,,,,,,,,,
L24,,IOBS,IO_L0N_19,UNUSED,,19,,,,,,,,,
L25,,IOBM,IO_L1P_19,UNUSED,,19,,,,,,,,,
L26,,IOBS,IO_L1N_19,UNUSED,,19,,,,,,,,,
L27,,,GND,,,,,,,,,,,,
L28,,IOBS,IO_L13N_19,UNUSED,,19,,,,,,,,,
L29,,IOBM,IO_L4P_15,UNUSED,,15,,,,,,,,,
L30,,IOBM,IO_L7P_15,UNUSED,,15,,,,,,,,,
L31,,IOBS,IO_L9N_CC_15,UNUSED,,15,,,,,,,,,
L32,,,VCCO_15,,,15,,,,,any******,,,,
L33,send_ports_0_putFlit_flit_in<1>,IOB,IO_L13P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
L34,recv_ports_0_getFlit<15>,IOB,IO_L10P_CC_SM15P_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,,OPAD,MGTTXP0_112,UNUSED,,,,,,,,,,,
M3,,,MGTAVTTTX_112,,,,,,,,,,,,
M4,,,GND,,,,,,,,,,,,
M5,,IOBS,IO_L0N_12,UNUSED,,12,,,,,,,,,
M6,,IOBM,IO_L0P_12,UNUSED,,12,,,,,,,,,
M7,,IOBM,IO_L2P_12,UNUSED,,12,,,,,,,,,
M8,,IOBM,IO_L14P_20,UNUSED,,20,,,,,,,,,
M9,,,VCCO_12,,,12,,,,,any******,,,,
M10,,IOBM,IO_L16P_20,UNUSED,,20,,,,,,,,,
M11,,,VCCAUX,,,,,,,,2.5,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.0,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,DONE_0,,,,,,,,,,,,
M16,,,GND,,,,,,,,,,,,
M17,,,VCCINT,,,,,,,,1.0,,,,
M18,,,GND,,,,,,,,,,,,
M19,,,VCCINT,,,,,,,,1.0,,,,
M20,,,GND,,,,,,,,,,,,
M21,,,VCCAUX,,,,,,,,2.5,,,,
M22,,,PROGRAM_B_0,,,,,,,,,,,,
M23,,,HSWAPEN_0,,,,,,,,,,,,
M24,,,GND,,,,,,,,,,,,
M25,,IOBM,IO_L3P_19,UNUSED,,19,,,,,,,,,
M26,,IOBS,IO_L3N_19,UNUSED,,19,,,,,,,,,
M27,,IOBS,IO_L12N_VRP_19,UNUSED,,19,,,,,,,,,
M28,,IOBM,IO_L15P_19,UNUSED,,19,,,,,,,,,
M29,,,VCCO_15,,,15,,,,,any******,,,,
M30,,IOBS,IO_L7N_15,UNUSED,,15,,,,,,,,,
M31,,IOBM,IO_L11P_CC_15,UNUSED,,15,,,,,,,,,
M32,recv_ports_0_getFlit<16>,IOB,IO_L13N_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
M33,send_ports_0_putFlit_flit_in<14>,IOB,IO_L12N_VRP_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
M34,,,GND,,,,,,,,,,,,
N1,,IPAD,MGTRXP0_112,UNUSED,,,,,,,,,,,
N2,,OPAD,MGTTXN0_112,UNUSED,,,,,,,,,,,
N3,,,MGTAVTTRX_112,,,,,,,,,,,,
N4,,,GND,,,,,,,,,,,,
N5,,IOBM,IO_L3P_12,UNUSED,,12,,,,,,,,,
N6,,,VCCO_12,,,12,,,,,any******,,,,
N7,,IOBS,IO_L1N_12,UNUSED,,12,,,,,,,,,
N8,,IOBM,IO_L1P_12,UNUSED,,12,,,,,,,,,
N9,,IOBS,IO_L18N_20,UNUSED,,20,,,,,,,,,
N10,,IOBM,IO_L18P_20,UNUSED,,20,,,,,,,,,
N11,,,GND,,,,,,,,,,,,
N12,,,VCCINT,,,,,,,,1.0,,,,
N13,,,GND,,,,,,,,,,,,
N14,,,INIT_B_0,,,,,,,,,,,,
N15,,,CCLK_0,,,,,,,,,,,,
N16,,,VCCINT,,,,,,,,1.0,,,,
N17,,,GND,,,,,,,,,,,,
N18,,,VCCINT,,,,,,,,1.0,,,,
N19,,,GND,,,,,,,,,,,,
N20,,,VCCINT,,,,,,,,1.0,,,,
N21,,,GND,,,,,,,,,,,,
N22,,,CS_B_0,,,,,,,,,,,,
N23,,,RDWR_B_0,,,,,,,,,,,,
N24,,IOBM,IO_L17P_19,UNUSED,,19,,,,,,,,,
N25,,IOBS,IO_L18N_19,UNUSED,,19,,,,,,,,,
N26,,,GND,,,,,,,,,,,,
N27,,IOBM,IO_L12P_VRN_19,UNUSED,,19,,,,,,,,,
N28,,IOBS,IO_L15N_19,UNUSED,,19,,,,,,,,,
N29,,IOBM,IO_L8P_CC_15,UNUSED,,15,,,,,,,,,
N30,,IOBS,IO_L11N_CC_15,UNUSED,,15,,,,,,,,,
N31,,,GND,,,,,,,,,,,,
N32,send_ports_0_putFlit_flit_in<3>,IOB,IO_L15N_SM13N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
N33,recv_ports_0_getFlit<5>,IOB,IO_L12P_VRN_11,OUTPUT,LVCMOS25*,11,12,SLOW,,,,UNLOCATED,NO,NONE,
N34,send_ports_0_putFlit_flit_in<4>,IOB,IO_L14N_VREF_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
P1,,IPAD,MGTRXN0_112,UNUSED,,,,,,,,,,,
P2,,,GND,,,,,,,,,,,,
P3,,IPAD,MGTREFCLKN_112,UNUSED,,,,,,,,,,,
P4,,IPAD,MGTREFCLKP_112,UNUSED,,,,,,,,,,,
P5,,IOBS,IO_L3N_12,UNUSED,,12,,,,,,,,,
P6,,IOBS,IO_L5N_12,UNUSED,,12,,,,,,,,,
P7,,IOBM,IO_L5P_12,UNUSED,,12,,,,,,,,,
P8,,,GND,,,,,,,,,,,,
P9,,IOBS,IO_L12N_VRP_12,UNUSED,,12,,,,,,,,,
P10,,IOBS,IO_L14N_VREF_12,UNUSED,,12,,,,,,,,,
P11,,,VCCAUX,,,,,,,,2.5,,,,
P12,,,GND,,,,,,,,,,,,
P13,,,VCCINT,,,,,,,,1.0,,,,
P14,,,GND,,,,,,,,,,,,
P15,,,D_IN_0,,,,,,,,,,,,
P16,,,GND,,,,,,,,,,,,
P17,,,VCCINT,,,,,,,,1.0,,,,
P18,,,GND,,,,,,,,,,,,
P19,,,VCCINT,,,,,,,,1.0,,,,
P20,,,GND,,,,,,,,,,,,
P21,,,VCCINT,,,,,,,,1.0,,,,
P22,,,GND,,,,,,,,,,,,
P23,,,VCCAUX,,,,,,,,2.5,,,,
P24,,IOBS,IO_L17N_19,UNUSED,,19,,,,,,,,,
P25,,IOBM,IO_L18P_19,UNUSED,,19,,,,,,,,,
P26,,IOBM,IO_L16P_19,UNUSED,,19,,,,,,,,,
P27,,IOBS,IO_L16N_19,UNUSED,,19,,,,,,,,,
P28,,,GND,,,,,,,,,,,,
P29,,IOBS,IO_L8N_CC_15,UNUSED,,15,,,,,,,,,
P30,,IOBS,IO_L10N_CC_15,UNUSED,,15,,,,,,,,,
P31,,IOBM,IO_L10P_CC_15,UNUSED,,15,,,,,,,,,
P32,send_ports_0_putFlit_flit_in<5>,IOB,IO_L15P_SM13P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
P33,,,VCCO_15,,,15,,,,,any******,,,,
P34,send_ports_0_putFlit_flit_in<2>,IOB,IO_L14P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
R1,,IPAD,MGTRXN1_112,UNUSED,,,,,,,,,,,
R2,,,GND,,,,,,,,,,,,
R3,,,MGTAVCC_112,,,,,,,,,,,,
R4,,,MGTAVCC_112,,,,,,,,,,,,
R5,,,GND,,,,,,,,,,,,
R6,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,
R7,,IOBM,IO_L9P_CC_12,UNUSED,,12,,,,,,,,,
R8,,IOBS,IO_L9N_CC_12,UNUSED,,12,,,,,,,,,
R9,,IOBM,IO_L12P_VRN_12,UNUSED,,12,,,,,,,,,
R10,,,GND,,,,,,,,,,,,
R11,,IOBM,IO_L14P_12,UNUSED,,12,,,,,,,,,
R12,,,VCCINT,,,,,,,,1.0,,,,
R13,,,GND,,,,,,,,,,,,
R14,,,VCCINT,,,,,,,,1.0,,,,
R15,,,GND,,,,,,,,,,,,
R16,,,VCCINT,,,,,,,,1.0,,,,
R17,,,GND,,,,,,,,,,,,
R18,,,VCCINT,,,,,,,,1.0,,,,
R19,,,GND,,,,,,,,,,,,
R20,,,VCCINT,,,,,,,,1.0,,,,
R21,,,GND,,,,,,,,,,,,
R22,,,VCCINT,,,,,,,,1.0,,,,
R23,,,GND,,,,,,,,,,,,
R24,,IOBM,IO_L19P_19,UNUSED,,19,,,,,,,,,
R25,,,GND,,,,,,,,,,,,
R26,,IOBM,IO_L17P_15,UNUSED,,15,,,,,,,,,
R27,,IOBS,IO_L17N_15,UNUSED,,15,,,,,,,,,
R28,,IOBM,IO_L12P_VRN_15,UNUSED,,15,,,,,,,,,
R29,,IOBS,IO_L12N_VRP_15,UNUSED,,15,,,,,,,,,
R30,,,VCCO_11,,,11,,,,,2.50,,,,
R31,,IOBS,IO_L13N_15,UNUSED,,15,,,,,,,,,
R32,send_ports_0_putFlit_flit_in<7>,IOB,IO_L17N_SM11N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
R33,send_ports_0_putFlit_flit_in<9>,IOB,IO_L17P_SM11P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
R34,send_ports_0_putFlit_flit_in<8>,IOB,IO_L16N_SM12N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
T1,,IPAD,MGTRXP1_112,UNUSED,,,,,,,,,,,
T2,,OPAD,MGTTXN1_112,UNUSED,,,,,,,,,,,
T3,,,MGTAVCCPLL_112,,,,,,,,,,,,
T4,,,GND,,,,,,,,,,,,
T5,,,GND,,,,,,,,,,,,
T6,,IOBS,IO_L7N_12,UNUSED,,12,,,,,,,,,
T7,,,VCCO_12,,,12,,,,,any******,,,,
T8,,IOBM,IO_L10P_CC_12,UNUSED,,12,,,,,,,,,
T9,,IOBM,IO_L18P_12,UNUSED,,12,,,,,,,,,
T10,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,
T11,,IOBS,IO_L16N_12,UNUSED,,12,,,,,,,,,
T12,,,GND,,,,,,,,,,,,
T13,,,VCCINT,,,,,,,,1.0,,,,
T14,,,GND,,,,,,,,,,,,
T15,,,VCCINT,,,,,,,,1.0,,,,
T16,,,GND,,,,,,,,,,,,
T17,,,AVSS_0,,,,,,,,,,,,
T18,,,AVDD_0,,,,,,,,,,,,
T19,,,VCCINT,,,,,,,,1.0,,,,
T20,,,GND,,,,,,,,,,,,
T21,,,VCCINT,,,,,,,,1.0,,,,
T22,,,GND,,,,,,,,,,,,
T23,,,VCCAUX,,,,,,,,2.5,,,,
T24,,IOBS,IO_L19N_19,UNUSED,,19,,,,,,,,,
T25,,IOBS,IO_L19N_15,UNUSED,,15,,,,,,,,,
T26,,IOBS,IO_L18N_15,UNUSED,,15,,,,,,,,,
T27,,,VCCO_11,,,11,,,,,2.50,,,,
T28,,IOBM,IO_L15P_15,UNUSED,,15,,,,,,,,,
T29,,IOBS,IO_L15N_15,UNUSED,,15,,,,,,,,,
T30,,IOBS,IO_L14N_VREF_15,UNUSED,,15,,,,,,,,,
T31,,IOBM,IO_L13P_15,UNUSED,,15,,,,,,,,,
T32,,,GND,,,,,,,,,,,,
T33,send_ports_0_putFlit_flit_in<6>,IOB,IO_L16P_SM12P_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
T34,send_ports_0_putFlit_flit_in<10>,IOB,IO_L18N_SM10N_11,INPUT,LVCMOS25*,11,,,,NONE,,UNLOCATED,NO,NONE,
U2,,OPAD,MGTTXP1_112,UNUSED,,,,,,,,,,,
U3,,,MGTAVTTTX_112,,,,,,,,,,,,
U4,,,NC,,,,,,,,,,,,
U5,,,NC,,,,,,,,,,,,
U6,,,GND,,,,,,,,,,,,
